Latitude,Longitude,Country,State,Deaths,Confirmed,Recovered,County,FIPS,People_Hospitalized,People_Tested,Incident_Rate,Mortality_Rate,Testing_Rate,Hospitalization_Rate,_time,file_name
41.5978,-72.7554,US,Connecticut,4055,43818,7284.0,,9.0,9669.0,295549.0,1229.0174675979802,9.254187776712769,,22.066274133917567,06-06-2020,06-06-2020.csv
39.3185,-75.5071,US,Delaware,390,9845,5696.0,,10.0,,67635.0,1011.0252586869098,3.961401726764856,,,06-06-2020,06-06-2020.csv
,,US,Diamond Princess,0,49,,,88888.0,,,,0.0,,,06-06-2020,06-06-2020.csv
38.8974,-77.0268,US,District of Columbia,483,9269,1138.0,,11.0,,53678.0,1313.356448255683,5.2109181141439205,,,06-06-2020,06-06-2020.csv
27.7663,-81.6868,US,Florida,2688,62758,,,12.0,11163.0,1174185.0,292.20024437397666,4.28311928359731,,17.787373721278566,06-06-2020,06-06-2020.csv
33.0406,-83.6431,US,Georgia,2178,51359,,,13.0,8662.0,522857.0,483.7237811849448,4.240736774469909,,16.865593177437255,06-06-2020,06-06-2020.csv
,,US,Grand Princess,3,103,,,99999.0,,,,2.9126213592233015,,,06-06-2020,06-06-2020.csv
13.4443,144.7937,US,Guam,5,179,162.0,,66.0,,7463.0,108.99414841471359,2.793296089385475,,,06-06-2020,06-06-2020.csv
21.0943,-157.4983,US,Hawaii,17,673,614.0,,15.0,83.0,53257.0,47.53254531483072,2.5260029717682015,,12.332838038632989,06-06-2020,06-06-2020.csv
44.2405,-114.4788,US,Idaho,83,3139,2408.0,,16.0,257.0,55239.0,175.6511374796104,2.6441541892322395,,8.187320802803441,06-06-2020,06-06-2020.csv
40.3495,-88.9861,US,Illinois,5864,126890,,,17.0,,1022074.0,1001.3556851852626,4.6213255575695475,,,06-06-2020,06-06-2020.csv
39.8494,-86.2583,US,Indiana,2292,36997,24729.0,,18.0,6091.0,297530.0,549.5513440664956,6.195096899748628,,16.463497040300563,06-06-2020,06-06-2020.csv
42.0115,-93.2105,US,Iowa,599,21478,12715.0,,19.0,,184714.0,680.745593600142,2.788900270043765,,,06-06-2020,06-06-2020.csv
38.5266,-96.7265,US,Kansas,233,10361,612.0,,20.0,917.0,113653.0,355.64309236834754,2.2488176816909564,,8.850497056268699,06-06-2020,06-06-2020.csv
37.6681,-84.6701,US,Kentucky,470,11287,3344.0,,21.0,2361.0,249062.0,252.63711108668878,4.164082572871445,,20.917870116062726,06-06-2020,06-06-2020.csv
31.1695,-91.8678,US,Louisiana,2925,42486,31728.0,,22.0,,428069.0,913.9144474889616,6.884620816268889,,,06-06-2020,06-06-2020.csv
44.6939,-69.3819,US,Maine,98,2524,1845.0,,23.0,296.0,58923.0,187.76800088081345,3.8827258320126785,,11.727416798732172,06-06-2020,06-06-2020.csv
39.0639,-76.8021,US,Maryland,2740,57482,4175.0,,24.0,9451.0,357376.0,950.794616982705,4.766709578650708,,16.441668696287532,06-06-2020,06-06-2020.csv
42.2302,-71.5301,US,Massachusetts,7289,103132,,,25.0,10369.0,644639.0,1496.2924209100815,7.067641469185122,,10.054105418298882,06-06-2020,06-06-2020.csv
43.3266,-84.5361,US,Michigan,5894,64229,42041.0,,26.0,,699849.0,586.0202063572152,9.590773173857324,,,06-06-2020,06-06-2020.csv
45.6945,-93.9002,US,Minnesota,1181,27501,22253.0,,27.0,3336.0,333484.0,487.63820050669966,4.29438929493473,,12.130467982982434,06-06-2020,06-06-2020.csv
32.7416,-89.6787,US,Mississippi,811,17039,11203.0,,28.0,2475.0,193123.0,572.5183786161243,4.759668994659312,,14.525500322788893,06-06-2020,06-06-2020.csv
38.4561,-92.2884,US,Missouri,815,14951,,,29.0,,230065.0,243.60367241782714,5.451140391947027,,,06-06-2020,06-06-2020.csv
46.9219,-110.4544,US,Montana,18,540,472.0,,30.0,68.0,46754.0,50.524992093774394,3.333333333333333,,12.592592592592592,06-06-2020,06-06-2020.csv
41.1254,-98.2681,US,Nebraska,187,15572,7957.0,,31.0,919.0,117547.0,805.0008064482778,1.2008733624454149,,5.901618289237093,06-06-2020,06-06-2020.csv
38.3135,-117.0554,US,Nevada,437,9491,522.0,,32.0,,171771.0,308.1337438753102,4.6043620271836465,,,06-06-2020,06-06-2020.csv
43.4525,-71.5639,US,New Hampshire,283,5019,3319.0,,33.0,487.0,84009.0,369.12255619024927,5.638573421000199,,9.703128113169958,06-06-2020,06-06-2020.csv
40.2989,-74.521,US,New Jersey,12106,163893,27641.0,,34.0,18023.0,919448.0,1845.186828923948,7.386526575265568,,10.996808893607415,06-06-2020,06-06-2020.csv
34.8405,-106.2485,US,New Mexico,392,8800,3206.0,,35.0,1489.0,224640.0,419.68133786779936,4.454545454545454,,16.920454545454547,06-06-2020,06-06-2020.csv
